Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body,-0.107734016351388,0.659731332728757,0.508650513115946,0,0,0,15.9181025412927,0.1391767266026,2.3340555615011E-05,4.3354771729121E-05,0.178873989376265,0.0026778021342176,0.269632365734801,0,0,0,0,0,0,package://EVA/meshes/Body.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://EVA/meshes/Body.STL,,neck base link-1;EVA Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder_link_right,0.0659353112926789,-0.000305561125025555,0.00268201715043215,0,0,0,0.244967847855837,0.000175311345034818,4.96815477609741E-06,1.00652784207352E-06,0.000194343643201104,9.01843754904755E-07,0.000282432130937247,0,0,0,0,0,0,package://EVA/meshes/shoulder_link_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://EVA/meshes/shoulder_link_right.STL,,EVA shoulder link right-1,Origin_Shoulder joint right,Axis_Shoulder joint right,shoulder_joint_1,revolute,-0.27121,0.68562,1.5983,1.5475,0,3.1416,Body,1,0,0,0,0,0,0,,,,,,,,
upper_bicep_right,2.43679375366845E-06,-0.071236165615566,0.00629386601906845,0,0,0,0.311132651783736,0.000217096335824165,9.54783770621328E-09,4.18752047663033E-09,0.000233724350300062,2.24444630363015E-07,0.000282948497691461,0,0,0,0,0,0,package://EVA/meshes/upper_bicep_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://EVA/meshes/upper_bicep_right.STL,,EVA Bicep link 1 right-1,Origin_upper bicep right,Axis_upper bicep right,upper_bicep_joint_right,revolute,0.072,0,0,0,0,0.040161,shoulder_link_right,0,0,1,0,0,0,0,,,,,,,,
lower_bicep_right,0.00226161171027361,-0.121107670603483,0.00217991010289464,0,0,0,0.322166835687232,0.000499521054428143,6.3595383873861E-07,2.17092539111734E-07,0.000225423512304702,4.42922084439352E-05,0.000351112403798392,0,0,0,0,0,0,package://EVA/meshes/lower_bicep_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://EVA/meshes/lower_bicep_right.STL,,EVA Bicep link 2 right-1,Origin_lower bicep right,Axis_lower bicep right,lower_bicep_joint_right,revolute,0,-0.068032,0.00649,0,0.062891,0,upper_bicep_right,0,1,0,0,0,0,0,,,,,,,,
elbow_right,-0.00094258106431705,-0.0981772987513228,-0.0018394226728532,0,0,0,0.619512312185736,0.00195425558737089,3.11844265051141E-06,3.76108788631733E-08,0.000406802262285126,-6.62460540242866E-05,0.00178400389724863,0,0,0,0,0,0,package://EVA/meshes/elbow_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://EVA/meshes/elbow_right.STL,,EVA elbow joint-1,Origin_elbow right,Axis_elbow right,elbow_right_joint,revolute,0,-0.16597,0,0.19083,0,0,lower_bicep_right,1,0,0,0,0,0,0,,,,,,,,
forearm_right,0.000903956953788143,-0.0549583039429378,-0.000615705487273965,0,0,0,0.147650502703712,0.000114134079059838,8.53653162045627E-08,-8.57988731085453E-08,8.57580825503249E-05,1.38676158975273E-06,0.000161288764751938,0,0,0,0,0,0,package://EVA/meshes/forearm_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://EVA/meshes/forearm_right.STL,,EVA forearm joint-1,Origin_forearm right,Axis_forearm right,forearm_joint_right,revolute,0.0007775,-0.17588,-0.004924,-3.1416,-1.4912,-3.1416,elbow_right,0,1,0,0,0,0,0,,,,,,,,
wrist_right,-0.00174123493846179,-0.0201770355385047,-0.00070854093116135,0,0,0,0.0396774088963826,6.21385948553506E-06,-1.72978017813527E-07,-3.69971721268733E-09,4.22430935636149E-06,-4.29091194927146E-08,6.49665909114042E-06,0,0,0,0,0,0,package://EVA/meshes/wrist_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://EVA/meshes/wrist_right.STL,,EVA wrist joint-1,Origin_wrist right,Axis_wrist right,wrist_joint_right,revolute,0.00054195,-0.11015,0,3.1416,0,-3.0683,forearm_right,0,0,1,0,0,0,0,,,,,,,,
shoulder_link_left,-0.0659353116500655,-0.00030556113220026,0.00268201727405593,0,0,0,0.244967847147866,0.000175309571597301,-4.9681547073878E-06,-1.00652785389991E-06,0.000194342756584183,9.01843989819471E-07,0.000282431244223072,0,0,0,0,0,0,package://EVA/meshes/shoulder_link_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://EVA/meshes/shoulder_link_left.STL,,EVA shoulder link left-1,Origin_shoulder link left,Axis_shoulder link left,shoulder_joint_left,revolute,0.061791,0.68562,1.5983,1.7195,0,-3.1416,Body,1,0,0,0,0,0,0,,,,,,,,
upper_bicep_left,2.42930686815968E-05,-0.0712019079969899,0.00623567936620517,0,0,0,0.31166104857089,0.00021711093947791,-9.62565671662657E-09,-4.32372566723452E-09,0.000233732893819241,2.24559204998025E-07,0.000282971472575617,0,0,0,0,0,0,package://EVA/meshes/upper_bicep_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://EVA/meshes/upper_bicep_left.STL,,EVA Bicep link 1 left-1,Origin_upper bicep left,Axis_upper bicep left,upper_bicep_joint_left,revolute,-0.072,0,0,0,0,-0.0396,shoulder_link_left,0,0,1,0,0,0,0,,,,,,,,
lower_bicep_left,-0.00222792975009037,-0.110234327650065,0.00222883572732563,0,0,0,0.322694349979604,0.000499533072657194,-6.38986919600264E-07,-2.11448159171085E-07,0.000225426606354168,4.42897190417115E-05,0.000351129453366693,0,0,0,0,0,0,package://EVA/meshes/lower_bicep_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://EVA/meshes/lower_bicep_left.STL,,EVA Bicep link 2 left-1,Origin_lower bicep left,Axis_lower bicep left,lower_bicep_joint_left,revolute,0,-0.078872,0.00649,0,-0.048772,0,upper_bicep_left,0,1,0,0,0,0,0,,,,,,,,
