Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.023935,0.82614,-0.32916,0,0,0,8.7231,0.43786,0.0060048,0.0014775,0.1169,-0.01918,0.44107,0,0,0,0,0,0,package://evaurdf/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://evaurdf/meshes/base_link.STL,,skeleton-1;neck base link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
neckyaw,3.16271666052706E-08,0.026320877492739,6.34242214303526E-10,0,0,0,0.126175040674598,8.27555077333756E-05,4.03777936635689E-19,-6.90908142853906E-11,0.000117501706916793,-5.32226318368442E-20,0.000117550416671382,0,0,0,0,0,0,package://evaurdf/meshes/neckyaw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://evaurdf/meshes/neckyaw.STL,,neck link-1,Origin_neck,Axis_neck,neck,continuous,0,0.329,1.4601,1.5708,0,0.020051,base_link,0,1,0,,,,,,,,,,,,
head,0.000991055951199262,0.110877142761753,-0.00690969693007598,0,0,0,2.56826417178078,0.00967495550802753,9.79860347384167E-05,0.00030219746885624,0.00769698350456901,-0.00044423599956577,0.0109246801010029,0,0,0,0,0,0,package://evaurdf/meshes/head.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://evaurdf/meshes/head.STL,,Head link-1,Origin_head_pitch,Axis_head_pitch,head_pitch,revolute,0,0.05,0,-3.1077,0,3.1416,neckyaw,1,0,0,0,0,0,0,,,,,,,,
drivelink,0.442608414500854,0.38497256826904,0.422874023606937,0,0,0,10.5110387047355,0.0913808420198123,-5.36278981288798E-08,-1.93903145120642E-06,0.194286246334757,0.00300227344017714,0.123956245421858,0,0,0,0,0,0,package://evaurdf/meshes/drivelink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://evaurdf/meshes/drivelink.STL,,chassis-1,Origin_chassis,,chassis,fixed,0.43815,-0.14249,-0.30251,1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
omniwheelone,-1.51961776495568E-15,3.63598040564739E-15,-0.0189983350650456,0,0,0,0.204540248590815,6.51400050027573E-05,-3.89635155736978E-20,-1.30530114545276E-20,6.5140005002757E-05,-4.82617695539781E-21,0.000123773510488937,0,0,0,0,0,0,package://evaurdf/meshes/omniwheelone.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://evaurdf/meshes/omniwheelone.STL,,Omni wheel 127-1,Origin_omnione,Axis_omnione,omnione,continuous,0.60603,0.35151,0.19199,3.1416,0,1.9986,drivelink,0,0,1,,,,,,,,,,,,
omniwheeltwo,1.79023462720806E-15,3.02535774210355E-15,0.0190016649349595,0,0,0,0.204540248590815,6.51400050027572E-05,-3.30342849429177E-20,-8.63152636897224E-20,6.51400050027571E-05,1.50688845505087E-19,0.000123773510488937,0,0,0,0,0,0,package://evaurdf/meshes/omniwheeltwo.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://evaurdf/meshes/omniwheeltwo.STL,,Omni wheel 127-2,Origin_omnitwo,Axis_omnitwo,omnitwo,continuous,0.184651484049627,0.35150697340092,0.277611701761818,1.57079632679492,1.34484068342673,1.57079632679492,drivelink,0,0,1,,,,,,,,,,,,
omniwheelthree,-6.66133814775094E-16,8.88178419700125E-16,-0.0189983350650453,0,0,0,0.204540248590815,6.51400050027575E-05,-4.74338450462408E-20,-8.0155485795962E-21,6.51400050027573E-05,-3.02182594969937E-22,0.000123773510488937,0,0,0,0,0,0,package://evaurdf/meshes/omniwheelthree.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://evaurdf/meshes/omniwheelthree.STL,,Omni wheel 127-4,Origin_omnithree,Axis_omnithree,omnithree,continuous,0.270276484049601,0.35150697340092,0.660986701761786,3.14159265358979,0,1.72464128224183,drivelink,0,0,1,,,,,,,,,,,,
omniwheelfour,-2.99760216648792E-15,8.71525074330748E-15,-0.0189983350650284,0,0,0,0.204540248590815,6.51400050027574E-05,-5.25160427297666E-20,-1.66126829160778E-20,6.51400050027572E-05,3.57292252765053E-20,0.000123773510488937,0,0,0,0,0,0,package://evaurdf/meshes/omniwheelfour.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://evaurdf/meshes/omniwheelfour.STL,,Omni wheel 127-3,Origin_omnifour,Axis_omnifour,omnifour,continuous,0.653651484049575,0.351506973400919,0.613361701761816,1.57079632679487,-1.20303452089833,-1.57079632679487,drivelink,0,0,1,,,,,,,,,,,,
lidar,8.67191303490234E-08,-4.16025950141646E-05,-0.00869262401284093,0,0,0,0.0456707581860486,1.43875325113362E-05,2.88069673475584E-11,2.07587124017155E-11,4.00681951932874E-05,8.08830974764848E-10,4.95648054861963E-05,0,0,0,0,0,0,package://evaurdf/meshes/lidar.STL,0.0823529411764706,0.0823529411764706,0.0823529411764706,1,0,0,0,0,0,0,package://evaurdf/meshes/lidar.STL,,rplidar-s1-1,Origin_rplidar,,rplidar,fixed,0.43815,0.55501,0.20549,-1.5708,0,3.1416,drivelink,0,0,0,,,,,,,,,,,,
bodytoshoulder_right,0.00263342771648528,-0.000381904326435034,-0.101791329772656,0,0,0,0.248502139688113,0.000283023415082852,-1.79166914273708E-06,-1.15794628986197E-06,0.000194989361172429,-4.93506033054954E-06,0.000175355523683134,0,0,0,0,0,0,package://evaurdf/meshes/bodytoshoulder_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://evaurdf/meshes/bodytoshoulder_right.STL,,12mm shaft-1;EVA shoulder link right-1,Origin_shoulder_pitch_right,Axis_shoulder_pitch_right,shoulder_pitch_right,revolute,-0.128,0.329,1.3784,1.5708,0,1.5708,base_link,0,0,1,0,0,0,0,,,,,,,,
